model,fold,input_shape,fit_seconds,accuracy,precision,recall,f1,roc_auc
MLP,1,tabular,1.7171462999976939,0.8106666666666666,0.6543408360128617,0.3064759036144578,0.41743589743589743,0.7088847685261593
LSTM,1,sequence,3.811238599999342,0.7971666666666667,0.6029684601113172,0.2447289156626506,0.34815211569362614,0.7042914272672884
GRU,1,sequence,4.049516400002176,0.791,0.6947368421052632,0.09939759036144578,0.17391304347826086,0.7008935248700281
CNN_LSTM,1,sequence,3.4275331999961054,0.7786666666666666,0.0,0.0,0.0,0.577473931470746
LSTM_ATTENTION,1,sequence,5.580362400010927,0.796,0.5730337078651685,0.3072289156626506,0.4,0.6781489184477636
MLP,2,tabular,1.7669595000043046,0.7995,0.62109375,0.23963828183873398,0.3458401305057096,0.6728858611681756
LSTM,2,sequence,4.022139699998661,0.796,0.6102783725910065,0.21477015825169554,0.3177257525083612,0.6952666724828663
GRU,2,sequence,4.145592100001522,0.7813333333333333,0.7777777777777778,0.015825169555388093,0.0310192023633678,0.6683546277731702
CNN_LSTM,2,sequence,3.4060624000121607,0.7788333333333334,0.0,0.0,0.0,0.6288607242200581
LSTM_ATTENTION,2,sequence,5.6608629999973346,0.791,0.6022408963585434,0.16201959306706856,0.25534441805225655,0.6417411605188845
MLP,3,tabular,1.551159300011932,0.8055,0.6556420233463035,0.25395629238884704,0.3661053775122216,0.6867994254540868
LSTM,3,sequence,3.7088283999910345,0.799,0.6827794561933535,0.17030896759608138,0.27261761158021713,0.7216798517546404
GRU,3,sequence,4.223888299995451,0.7808333333333334,0.7727272727272727,0.01281085154483798,0.025203854707190512,0.6943381232048464
CNN_LSTM,3,sequence,3.43373820000852,0.7788333333333334,0.0,0.0,0.0,0.6615383858691508
LSTM_ATTENTION,3,sequence,5.881594000005862,0.7875,0.7363636363636363,0.06103993971363979,0.1127348643006263,0.6564238661353821
MLP,4,tabular,1.5817916999949375,0.8158333333333333,0.6761904761904762,0.32102486812358705,0.43536024527337763,0.7113205122147449
LSTM,4,sequence,3.7486212000076193,0.802,0.6469344608879493,0.23059532780708364,0.34,0.7066952628021836
GRU,4,sequence,4.184088599999086,0.7788333333333334,0.0,0.0,0.0,0.675182883730891
CNN_LSTM,4,sequence,3.472471000000951,0.7788333333333334,0.0,0.0,0.0,0.6799268223182737
LSTM_ATTENTION,4,sequence,5.778522599997814,0.7788333333333334,0.0,0.0,0.0,0.6324825985704727
MLP,5,tabular,1.597361699998146,0.8071666666666667,0.6824034334763949,0.23963828183873398,0.354712771890686,0.7055752949772709
LSTM,5,sequence,3.791595899994718,0.7966666666666666,0.5908319185059423,0.26224566691785983,0.36325678496868474,0.693691299454562
GRU,5,sequence,4.2178543000045465,0.7788333333333334,0.0,0.0,0.0,0.6873341717906472
CNN_LSTM,5,sequence,3.4191502000030596,0.781,0.782608695652174,0.013564431047475508,0.02666666666666667,0.6543197134817518
LSTM_ATTENTION,5,sequence,5.9086471000046,0.7961666666666667,0.6274509803921569,0.19291635267520724,0.29510086455331414,0.6332581097684578
